person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Deputy U.S. Marshal Arthur J. Harrington,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, June 6, 1876",Cause of Death: Gunfire,Gunfire,1876-06-06,1876,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Charles Mayes,"Dawson County Sheriff's Office, NE","EOW: Saturday, June 17, 1876",Cause of Death: Gunfire,Gunfire,1876-06-17,1876,FALSE,Dawson County Sheriff's Office, NE
City Marshal Isaac H. Mitchell,"Huntington Police Department, WV","EOW: Tuesday, June 27, 1876",Cause of Death: Gunfire,Gunfire,1876-06-27,1876,FALSE,Huntington Police Department, WV
Patrolman Louis Gomenginger,"Rochester Police Department, NY","EOW: Monday, July 3, 1876",Cause of Death: Gunfire,Gunfire,1876-07-03,1876,FALSE,Rochester Police Department, NY
Policeman Henry O'Donnell,"Philadelphia Police Department, PA","EOW: Tuesday, July 4, 1876",Cause of Death: Heat exhaustion,Heat exhaustion,1876-07-04,1876,FALSE,Philadelphia Police Department, PA
Patrolman Edward Scott,"Brooklyn Police Department, NY","EOW: Thursday, July 6, 1876",Cause of Death: Assault,Assault,1876-07-06,1876,FALSE,Brooklyn Police Department, NY
Deputy Sheriff B. B. Sullivan,"Caldwell County Sheriff's Office, TX","EOW: Friday, July 7, 1876",Cause of Death: Gunfire,Gunfire,1876-07-07,1876,FALSE,Caldwell County Sheriff's Office, TX
Police Officer Benjamin Ellsden,"Newark Police Department, NJ","EOW: Thursday, July 13, 1876",Cause of Death: Gunfire,Gunfire,1876-07-13,1876,FALSE,Newark Police Department, NJ
Police Officer Newton C. Perkins,"Jackson Police Department, TN","EOW: Thursday, July 13, 1876",Cause of Death: Gunfire,Gunfire,1876-07-13,1876,FALSE,Jackson Police Department, TN
Sergeant James McGiven,"New York Municipal Police Department, NY","EOW: Monday, July 24, 1876",Cause of Death: Stabbed,Stabbed,1876-07-24,1876,FALSE,New York Municipal Police Department, NY
Policeman William J. Kelly,"Austin Police Department, NV","EOW: Sunday, August 6, 1876",Cause of Death: Stabbed,Stabbed,1876-08-06,1876,FALSE,Austin Police Department, NV
Deputy Sheriff William J. Kelley,"Lander County Sheriff's Office, NV","EOW: Monday, August 7, 1876",Cause of Death: Stabbed,Stabbed,1876-08-07,1876,FALSE,Lander County Sheriff's Office, NV
Police Officer Stanley J. Brock,"Newark Police Department, NJ","EOW: Tuesday, August 8, 1876",Cause of Death: Gunfire,Gunfire,1876-08-08,1876,FALSE,Newark Police Department, NJ
Police Officer John M. Blake,"Gloucester Police Department, MA","EOW: Friday, August 25, 1876",Cause of Death: Heart attack,Heart attack,1876-08-25,1876,FALSE,Gloucester Police Department, MA
Deputy Sheriff Samuel B. Martin,"Burnet County Sheriff's Office, TX","EOW: Monday, September 11, 1876",Cause of Death: Gunfire,Gunfire,1876-09-11,1876,FALSE,Burnet County Sheriff's Office, TX
Sheriff Benjamin Franklin Jones,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Wednesday, September 20, 1876",Cause of Death: Gunfire,Gunfire,1876-09-20,1876,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Sheriff Alexander C. Starks,"Rockwall County Sheriff's Office, TX","EOW: Friday, September 29, 1876",Cause of Death: Gunfire,Gunfire,1876-09-29,1876,FALSE,Rockwall County Sheriff's Office, TX
Town Marshal James W. Williams,"Orlando Police Department, FL","EOW: Sunday, October 1, 1876",Cause of Death: Gunfire,Gunfire,1876-10-01,1876,FALSE,Orlando Police Department, FL
Deputy U.S. Marshal Felix H. Torbett,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, October 1, 1876",Cause of Death: Gunfire,Gunfire,1876-10-01,1876,FALSE,United States Department of Justice - United States Marshals Service, US
Special Policeman Henry William Kaepernick,"Faribault Police Department, MN","EOW: Tuesday, October 3, 1876",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1876-10-03,1876,FALSE,Faribault Police Department, MN
Deputy Sheriff Robert L. Broaddus,"Montague County Sheriff's Office, TX","EOW: Tuesday, October 17, 1876",Cause of Death: Gunfire,Gunfire,1876-10-17,1876,FALSE,Montague County Sheriff's Office, TX
Constable Thomas Godwin,"Tehachapi Police Department, CA","EOW: Sunday, October 22, 1876",Cause of Death: Gunfire,Gunfire,1876-10-22,1876,FALSE,Tehachapi Police Department, CA
City Marshal William T. Flint,"Texarkana Police Department, TX","EOW: Saturday, November 11, 1876",Cause of Death: Gunfire,Gunfire,1876-11-11,1876,FALSE,Texarkana Police Department, TX
Patrolman Patrick McKeon,"Brooklyn Police Department, NY","EOW: Tuesday, December 5, 1876",Cause of Death: Fire,Fire,1876-12-05,1876,FALSE,Brooklyn Police Department, NY
Constable Charles Faber,"Bent County Sheriff's Office, CO","EOW: Friday, December 22, 1876",Cause of Death: Gunfire,Gunfire,1876-12-22,1876,FALSE,Bent County Sheriff's Office, CO
Roundsman Lawrence J. Phelan,"Brooklyn Police Department, NY","EOW: Wednesday, December 27, 1876",Cause of Death: Assault,Assault,1876-12-27,1876,FALSE,Brooklyn Police Department, NY
Deputy Sheriff Jackson M. Phillips,"Bandera County Sheriff's Office, TX","EOW: Friday, December 29, 1876",Cause of Death: Assault,Assault,1876-12-29,1876,FALSE,Bandera County Sheriff's Office, TX
Police Officer Alpheus D. Neill,"Waco Police Department, TX","EOW: Tuesday, February 6, 1877",Cause of Death: Gunfire,Gunfire,1877-02-06,1877,FALSE,Waco Police Department, TX
Keeper Harvey A. Casler,"New York State Department of Correctional Services, NY","EOW: Thursday, February 8, 1877",Cause of Death: Assault,Assault,1877-02-08,1877,FALSE,New York State Department of Correctional Services, NY
Deputy Marshal Henry H. Hughes,"Independence Police Department, MO","EOW: Saturday, February 10, 1877",Cause of Death: Gunfire,Gunfire,1877-02-10,1877,FALSE,Independence Police Department, MO
Deputy U.S. Marshal Van Buren Hendrix,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, February 12, 1877",Cause of Death: Gunfire,Gunfire,1877-02-12,1877,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal John Wilson,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, February 14, 1877",Cause of Death: Gunfire,Gunfire,1877-02-14,1877,FALSE,United States Department of Justice - United States Marshals Service, US
Policeman George McGonigal,"Philadelphia Police Department, PA","EOW: Sunday, February 18, 1877",Cause of Death: Gunfire,Gunfire,1877-02-18,1877,FALSE,Philadelphia Police Department, PA
Deputy Sheriff Jason W. Fussell,"Madison County Sheriff's Office, TN","EOW: Saturday, March 3, 1877",Cause of Death: Gunfire,Gunfire,1877-03-03,1877,FALSE,Madison County Sheriff's Office, TN
Sheriff John W. Love,"Limestone County Sheriff's Department, TX","EOW: Wednesday, April 18, 1877",Cause of Death: Gunfire,Gunfire,1877-04-18,1877,FALSE,Limestone County Sheriff's Department, TX
Substitute Officer Charles J. Coots,"San Francisco Police Department, CA","EOW: Thursday, April 26, 1877",Cause of Death: Gunfire,Gunfire,1877-04-26,1877,FALSE,San Francisco Police Department, CA
Sheriff J. F. Holmes,"Trinity County Sheriff's Office, TX","EOW: Thursday, April 26, 1877",Cause of Death: Gunfire,Gunfire,1877-04-26,1877,FALSE,Trinity County Sheriff's Office, TX
"Deputy U.S. Marshal Maston Reynolds ""Boss"" Greene","United States Department of Justice - United States Marshals Service, US","EOW: Saturday, May 12, 1877",Cause of Death: Gunfire,Gunfire,1877-05-12,1877,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff James Mastin,"Erath County Sheriff's Office, TX","EOW: Thursday, June 21, 1877",Cause of Death: Gunfire,Gunfire,1877-06-21,1877,FALSE,Erath County Sheriff's Office, TX
Patrolman S. Wellington McArthur,"Chicago Police Department, IL","EOW: Friday, June 29, 1877",Cause of Death: Stabbed,Stabbed,1877-06-29,1877,FALSE,Chicago Police Department, IL
Constable Samuel Norman,"Tarentum Borough Police Department, PA","EOW: Thursday, July 26, 1877",Cause of Death: Gunfire,Gunfire,1877-07-26,1877,FALSE,Tarentum Borough Police Department, PA
Patrolman Thomas W. Lannon,"Kokomo Police Department, IN","EOW: Wednesday, August 22, 1877",Cause of Death: Gunfire,Gunfire,1877-08-22,1877,FALSE,Kokomo Police Department, IN
Deputy City Marshal Columbus C. Fitzgerald,"Fort Worth Marshal's Office, TX","EOW: Sunday, August 26, 1877",Cause of Death: Gunfire,Gunfire,1877-08-26,1877,FALSE,Fort Worth Marshal's Office, TX
Watchman Willis Shipman,"Connecticut Department of Correction, CT","EOW: Saturday, September 1, 1877",Cause of Death: Gunfire,Gunfire,1877-09-01,1877,FALSE,Connecticut Department of Correction, CT
Deputy Sheriff Thomas Shaw,"Nueces County Sheriff's Office, TX","EOW: Monday, September 10, 1877",Cause of Death: Stabbed,Stabbed,1877-09-10,1877,FALSE,Nueces County Sheriff's Office, TX
Special Deputy Sheriff James E. Stewart,"Young County Sheriff's Office, TX","EOW: Friday, September 21, 1877",Cause of Death: Gunfire,Gunfire,1877-09-21,1877,FALSE,Young County Sheriff's Office, TX
Patrolman Martin Roth,"Louisville Police Department, KY","EOW: Monday, October 29, 1877",Cause of Death: Assault,Assault,1877-10-29,1877,FALSE,Louisville Police Department, KY
Patrolman John Sylvester White,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, November 18, 1877",Cause of Death: Gunfire,Gunfire,1877-11-18,1877,FALSE,St. Louis Metropolitan Police Department, MO
City Marshal Jackson T. Barfield,"Wortham Police Department, TX","EOW: Monday, December 3, 1877",Cause of Death: Gunfire,Gunfire,1877-12-03,1877,FALSE,Wortham Police Department, TX
Patrolman Gilbert E. Reynolds,"Chicago Police Department, IL","EOW: Wednesday, December 5, 1877",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1877-12-05,1877,FALSE,Chicago Police Department, IL
Constable James S. McElligott,"Lake Township Police Department, IL","EOW: Sunday, December 9, 1877",Cause of Death: Gunfire,Gunfire,1877-12-09,1877,FALSE,Lake Township Police Department, IL
Deputy U.S. Marshal George Ellis,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, December 10, 1877",Cause of Death: Gunfire,Gunfire,1877-12-10,1877,FALSE,United States Department of Justice - United States Marshals Service, US
Fourth Sergeant C. E. Mortimer,"Texas Rangers, TX","EOW: Thursday, December 13, 1877",Cause of Death: Gunfire,Gunfire,1877-12-13,1877,FALSE,Texas Rangers, TX
Third Sergeant John E. McBride,"Texas Rangers, TX","EOW: Monday, December 17, 1877",Cause of Death: Gunfire,Gunfire,1877-12-17,1877,FALSE,Texas Rangers, TX
Patrolman John Thompson,"Brooklyn Police Department, NY","EOW: Tuesday, December 18, 1877",Cause of Death: Animal related,Animal related,1877-12-18,1877,FALSE,Brooklyn Police Department, NY
"Private Timothy J. ""Tim"" McCarty","Texas Rangers, TX","EOW: Wednesday, January 2, 1878",Cause of Death: Gunfire,Gunfire,1878-01-02,1878,FALSE,Texas Rangers, TX
Patrolman Benjamin W. Ayers,"St. Louis Metropolitan Police Department, MO","EOW: Friday, January 4, 1878",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1878-01-04,1878,FALSE,St. Louis Metropolitan Police Department, MO
Deputy Sheriff John Ruggless,"Lewis County Sheriff's Department, KY","EOW: Monday, January 7, 1878",Cause of Death: Gunfire,Gunfire,1878-01-07,1878,FALSE,Lewis County Sheriff's Department, KY
Patrolman Martin Kunkel,"Cincinnati Police Department, OH","EOW: Sunday, January 20, 1878",Cause of Death: Gunfire,Gunfire,1878-01-20,1878,FALSE,Cincinnati Police Department, OH
Sheriff Thomas Passmore,"Inyo County Sheriff's Department, CA","EOW: Sunday, February 10, 1878",Cause of Death: Gunfire,Gunfire,1878-02-10,1878,FALSE,Inyo County Sheriff's Department, CA
Town Marshal John T. Arnold,"Colusa Police Department, CA","EOW: Monday, March 4, 1878",Cause of Death: Gunfire,Gunfire,1878-03-04,1878,FALSE,Colusa Police Department, CA
Constable Nelson Heuston,"White Pine County Sheriff's Office, NV","EOW: Monday, March 4, 1878",Cause of Death: Gunfire,Gunfire,1878-03-04,1878,FALSE,White Pine County Sheriff's Office, NV
Deputy Sheriff Lafayette Coleman,"Brazos County Sheriff's Office, TX","EOW: Wednesday, March 6, 1878",Cause of Death: Gunfire,Gunfire,1878-03-06,1878,FALSE,Brazos County Sheriff's Office, TX
Deputy Sheriff Newton Sam Gorman,"Kimble County Sheriff's Office, TX","EOW: Friday, March 8, 1878",Cause of Death: Gunfire,Gunfire,1878-03-08,1878,FALSE,Kimble County Sheriff's Office, TX
Special Constable Benton Nance,"Cooke County Constable's Office - Precinct 2, TX","EOW: Sunday, March 10, 1878",Cause of Death: Gunfire,Gunfire,1878-03-10,1878,FALSE,Cooke County Constable's Office - Precinct 2, TX
Constable W. C. Fitzgerald,"Ouachita Parish Constable's Office, LA","EOW: Tuesday, March 12, 1878",Cause of Death: Gunfire,Gunfire,1878-03-12,1878,FALSE,Ouachita Parish Constable's Office, LA
Deputy Sheriff George Hindman,"Lincoln County Sheriff's Department, NM","EOW: Monday, April 1, 1878",Cause of Death: Gunfire,Gunfire,1878-04-01,1878,FALSE,Lincoln County Sheriff's Department, NM
Sheriff William Brady,"Lincoln County Sheriff's Department, NM","EOW: Monday, April 1, 1878",Cause of Death: Gunfire,Gunfire,1878-04-01,1878,FALSE,Lincoln County Sheriff's Department, NM
City Marshal A. G. Hall,"Round Rock Police Department, TX","EOW: Tuesday, April 2, 1878",Cause of Death: Gunfire,Gunfire,1878-04-02,1878,FALSE,Round Rock Police Department, TX
City Marshal Edward J. Masterson,"Dodge City Police Department, KS","EOW: Tuesday, April 9, 1878",Cause of Death: Gunfire,Gunfire,1878-04-09,1878,FALSE,Dodge City Police Department, KS
Deputy Collector George W. Stebbins,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Thursday, April 18, 1878",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1878-04-18,1878,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Deputy U.S. Marshal Rufus Springs,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, April 19, 1878",Cause of Death: Gunfire,Gunfire,1878-04-19,1878,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Volney Turner,"Wood County Sheriff's Department, TX","EOW: Saturday, April 20, 1878",Cause of Death: Gunfire,Gunfire,1878-04-20,1878,FALSE,Wood County Sheriff's Department, TX
Marshal George O'Connor,"Leadville Police Department, CO","EOW: Thursday, April 25, 1878",Cause of Death: Gunfire,Gunfire,1878-04-25,1878,FALSE,Leadville Police Department, CO
Deputy U.S. Marshal Thomas Echols Rodgers,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 29, 1878",Cause of Death: Gunfire,Gunfire,1878-04-29,1878,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff George V. Vise,"Dallas County Sheriff's Department, TX","EOW: Wednesday, June 5, 1878",Cause of Death: Drowned,Drowned,1878-06-05,1878,FALSE,Dallas County Sheriff's Department, TX
Undersheriff James Thompson,"Missoula County Sheriff's Department, MT","EOW: Monday, July 1, 1878",Cause of Death: Heat exhaustion,Heat exhaustion,1878-07-01,1878,FALSE,Missoula County Sheriff's Department, MT
Deputy U.S. Marshal Harry T. McCarty,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, July 13, 1878",Cause of Death: Gunfire,Gunfire,1878-07-13,1878,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Thomas Lyons,"Pittsburgh Police Department, PA","EOW: Tuesday, July 16, 1878",Cause of Death: Assault,Assault,1878-07-16,1878,FALSE,Pittsburgh Police Department, PA
Patrolman John Dwyer,"Cincinnati Police Department, OH","EOW: Thursday, July 18, 1878",Cause of Death: Struck by streetcar,Struck by streetcar,1878-07-18,1878,FALSE,Cincinnati Police Department, OH
Deputy Sheriff Robert W. Beckwith,"Lincoln County Sheriff's Department, NM","EOW: Friday, July 19, 1878",Cause of Death: Gunfire,Gunfire,1878-07-19,1878,FALSE,Lincoln County Sheriff's Department, NM
"Deputy Sheriff Alijah W. ""Caige"" Grimes","Williamson County Sheriff's Office, TX","EOW: Friday, July 19, 1878",Cause of Death: Gunfire,Gunfire,1878-07-19,1878,FALSE,Williamson County Sheriff's Office, TX
Police Officer John Fillion,"Detroit Police Department, MI","EOW: Wednesday, July 24, 1878",Cause of Death: Heat exhaustion,Heat exhaustion,1878-07-24,1878,FALSE,Detroit Police Department, MI
